x,y,z,qx,qy,qz,qw,vx,vy,vz,vroll,vpitch,vyaw,ax,ay,az,aroll,apitch,ayaw
0.554349,-0.000149649,0.624352,0.924046,-0.38228,-0.000376354,-0.000263554,-0.00415692,-0.00415692,-0.00415692,0.021528,0.0137149,0.021528,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554345,-0.000153835,0.624348,0.92405,-0.38227,-0.000386881,-0.000270926,-0.00421466,-0.00421466,-0.00421466,0.021827,0.0139053,0.021827,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554341,-0.000158079,0.624344,0.924055,-0.38226,-0.000397553,-0.000278399,-0.00427239,-0.00427239,-0.00427239,0.022126,0.0140958,0.022126,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554337,-0.00016238,0.62434,0.924059,-0.382249,-0.000408371,-0.000285974,-0.00433013,-0.00433013,-0.00433013,0.022425,0.0142863,0.022425,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554332,-0.000166739,0.624335,0.924063,-0.382239,-0.000419333,-0.000293651,-0.00438786,-0.00438786,-0.00438786,0.022724,0.0144768,0.022724,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554328,-0.000171155,0.624331,0.924067,-0.382228,-0.000430441,-0.000301429,-0.0044456,-0.0044456,-0.0044456,0.023023,0.0146673,0.023023,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554323,-0.00017563,0.624326,0.924072,-0.382218,-0.000441694,-0.00030931,-0.00450333,-0.00450333,-0.00450333,0.023322,0.0148578,0.023322,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554319,-0.000180162,0.624322,0.924076,-0.382207,-0.000453092,-0.000317291,-0.00456107,-0.00456107,-0.00456107,0.023621,0.0150483,0.023621,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554314,-0.000184752,0.624317,0.924081,-0.382196,-0.000464635,-0.000325375,-0.0046188,-0.0046188,-0.0046188,0.02392,0.0152387,0.02392,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55431,-0.0001894,0.624313,0.924085,-0.382185,-0.000476324,-0.00033356,-0.00467654,-0.00467654,-0.00467654,0.024219,0.0154292,0.024219,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554305,-0.000194105,0.624308,0.92409,-0.382173,-0.000488157,-0.000341847,-0.00473427,-0.00473427,-0.00473427,0.024518,0.0156197,0.024518,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.5543,-0.000198868,0.624303,0.924095,-0.382162,-0.000500136,-0.000350236,-0.00479201,-0.00479201,-0.00479201,0.024817,0.0158102,0.024817,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554295,-0.000203689,0.624298,0.9241,-0.382151,-0.00051226,-0.000358726,-0.00484974,-0.00484974,-0.00484974,0.025116,0.0160007,0.025116,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55429,-0.000208568,0.624293,0.924104,-0.382139,-0.000524529,-0.000367318,-0.00490748,-0.00490748,-0.00490748,0.025415,0.0161912,0.025415,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554285,-0.000213504,0.624288,0.924109,-0.382127,-0.000536944,-0.000376011,-0.00496521,-0.00496521,-0.00496521,0.025714,0.0163816,0.025714,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554281,-0.000218498,0.624284,0.924114,-0.382115,-0.000549504,-0.000384807,-0.00502295,-0.00502295,-0.00502295,0.026013,0.0165721,0.026013,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.554275,-0.00022355,0.624278,0.924119,-0.382103,-0.000562208,-0.000393704,-0.00508068,-0.00508068,-0.00508068,0.026312,0.0167626,0.026312,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
0.55427,-0.00022866,0.624273,0.924124,-0.382091,-0.000575059,-0.000402702,-0.00513842,-0.00513842,-0.00513842,0.026611,0.0169531,0.026611,-0.057735,-0.057735,-0.057735,0.299,0.190484,0.299
